song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
"shakira: bzrp music sessions, vol. 53_bizarrap & shakira",2024-05-18,2024-07-18,62,30,50,41.885245901639344,95,93.67213114754098
shars 2023_al safir,2024-11-30,2024-12-01,2,21,21,21.0,55,41.5
shibatto_quevedo,2025-11-24,2025-11-27,4,3,5,3.75,71,67.75
si antes te hubiera conocido_karol g,2025-06-22,2025-11-27,159,1,22,2.4394904458598727,96,92.7452229299363
si la calle llama - remix_eladio carrion,2024-05-18,2024-08-29,104,20,50,32.57692307692308,87,85.63461538461539
si no es contigo_cris mj,2025-06-18,2025-09-20,95,31,50,38.59782608695652,90,88.23913043478261
si no estás_iñigo quintero,2024-09-20,2025-04-03,196,1,50,14.81283422459893,99,93.47058823529412
si sabe ferxxo_blessd,2025-01-28,2025-02-28,32,27,50,39.806451612903224,86,82.25806451612904
"si si si si (feat. eladio carrion, bryant myers, dei v)_the academy: segunda misión",2025-03-31,2025-03-31,1,16,16,16.0,42,42.0
"si si si si (feat. eladio carrion, bryant myers, dei v)_the academy: segunda misión & justin quiles & lenny tavárez",2025-04-01,2025-06-08,69,16,50,38.55172413793103,76,74.03448275862068
si te pegas_rauw alejandro,2024-07-09,2024-07-12,4,30,43,36.75,77,56.25
sigo enamorau'_eladio carrion,2025-01-21,2025-01-21,1,17,17,17.0,68,68.0
sin gato (miau!)_rels b,2024-05-28,2024-06-03,7,45,50,47.666666666666664,74,68.0
sleigh ride_the ronettes,2024-12-25,2024-12-27,3,28,50,42.666666666666664,84,84.0
snowman_sia,2024-12-25,2024-12-27,3,27,42,37.0,94,94.0
sofi - remix_samueliyo baby & kevin roldan,2024-12-12,2024-12-14,3,22,40,32.333333333333336,69,68.0
solita y sueltaaa_rels b,2024-07-23,2024-07-25,3,49,50,49.666666666666664,70,67.33333333333333
soltera_shakira,2025-09-28,2025-11-27,61,5,38,13.344262295081966,87,83.85245901639344
sonrisa_eladio carrion,2025-01-21,2025-01-21,1,16,16,16.0,68,68.0
sorry 4 that much_feid,2025-06-09,2025-07-17,39,9,48,24.263157894736842,88,81.44736842105263
spanish teteo_rvfv & rels b & omar montes,2024-09-10,2024-09-11,2,50,50,50.0,63,61.0
sport+ rmx_clarent & myke towers,2025-08-15,2025-08-23,9,47,50,48.666666666666664,71,70.22222222222223
star_jc reyes,2025-10-20,2025-11-27,39,7,50,15.513513513513514,73,67.62162162162163
suano_ntg & amenazzy,2025-05-16,2025-08-09,86,6,50,23.55,76,73.7375
supernova_saiko,2024-05-18,2025-05-03,351,1,50,24.10144927536232,85,80.3719806763285
t'as peur_aya nakamura,2024-05-18,2024-05-21,4,45,49,46.0,70,70.0
tacos gucci_anuel aa,2025-02-18,2025-03-05,16,19,49,34.42857142857143,84,79.85714285714286
también_myke towers,2025-08-24,2025-11-27,96,5,47,11.875,80,76.64772727272727
tanta droga_eladio carrion,2025-01-21,2025-01-21,1,27,27,27.0,68,68.0
taste_sabrina carpenter,2025-08-29,2025-09-03,6,47,50,48.666666666666664,92,89.66666666666667
tattoo_loreen,2024-05-18,2024-06-02,16,21,48,37.1875,93,91.4375
te fallé_quevedo,2025-11-24,2025-11-27,4,17,28,25.25,67,64.25
te menti_ozuna & saiko & ovy on the drums,2024-09-19,2024-09-29,11,38,50,45.45454545454545,77,73.18181818181819
telefono nuevo_bad bunny,2024-10-14,2024-10-28,15,9,50,30.466666666666665,89,80.8
tengo un plan_key-key,2025-04-04,2025-06-11,69,11,49,26.391304347826086,81,77.8695652173913
thalía - remix_cyril kamer & rvfv & polimá westcoast,2025-07-18,2025-08-23,37,25,50,37.05882352941177,72,69.17647058823529
thalía_cyril kamer,2025-03-15,2025-06-04,82,9,46,26.765432098765434,77,73.67901234567901
the code_nemo,2025-05-14,2025-05-18,5,24,49,36.8,83,79.8
the emptiness machine_linkin park,2025-09-11,2025-10-02,22,30,49,38.11764705882353,93,91.11764705882354
thunder y lightning_bad bunny,2024-10-14,2024-11-17,35,14,50,31.65714285714286,87,83.37142857142857
timeless (with playboi carti)_the weeknd & playboi carti,2025-09-29,2025-09-29,1,50,50,50.0,79,79.0
todo contigo_álvaro de luna,2024-05-18,2024-09-23,129,12,46,30.124031007751938,80,78.9922480620155
todo lit_eladio carrion,2025-01-21,2025-01-21,1,23,23,23.0,67,67.0
toy en el mic_bizarrap & milo j,2024-10-07,2024-10-13,7,24,39,28.571428571428573,81,76.0
tqg_karol g,2024-05-18,2025-08-08,448,9,50,31.983333333333334,96,93.06666666666666
tqmqa_eladio carrion,2024-12-17,2025-01-26,41,15,50,38.9375,80,74.78125
tranquila baby_eladio carrion,2025-01-21,2025-01-21,1,32,32,32.0,67,67.0
trato de estar bien_duki,2025-11-03,2025-11-09,7,37,48,44.0,68,65.6
trending remix (with myke towers)_dei v,2025-03-03,2025-07-20,140,10,49,24.467153284671532,80,73.46715328467154
tu ritmo_eladio carrion,2025-01-21,2025-01-21,1,21,21,21.0,68,68.0
tu silueta_diegote,2025-07-14,2025-10-28,107,5,50,17.40566037735849,79,76.10377358490567
tu$$i (with dei v)_yovngchimi,2025-03-01,2025-08-16,169,11,50,31.8625,79,76.69375
tuya_rosalía,2024-06-11,2024-07-18,38,6,46,29.18421052631579,87,84.92105263157895
