best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
13,50,31.384615384615383,13,0,37,11.214116561566955,4.916666666666667,79,75.53846153846153,3.461538461538467,13,0,1.1462147040623896
43,50,47.1764705882353,50,7,7,2.480808691678155,2.4375,88,87.23529411764706,0.764705882352942,17,2,5.171212093050108
13,42,28.181818181818183,42,29,29,9.086453453555814,11.7,75,73.72727272727273,1.2727272727272665,11,11,1.5862860096141584
15,27,23.0,15,0,12,6.928203230275509,6.0,95,95.0,0.0,3,0,0.3783959508686495
5,50,36.785714285714285,5,0,45,16.957769135883826,4.076923076923077,81,73.85714285714286,7.142857142857139,14,0,1.2807826977817984
5,49,23.62962962962963,37,32,44,14.977285746058538,5.0,84,81.14814814814815,2.8518518518518476,27,9,1.6898990497594797
47,50,48.53333333333333,50,3,3,1.0600988273786196,1.1428571428571428,85,81.46666666666667,3.533333333333331,15,29,198.0487511461579
3,50,31.3125,42,39,47,15.81863352716241,13.466666666666669,74,70.375,3.625,16,27,1.7837358755424115
22,48,40.0,22,0,26,12.328828005937952,8.666666666666666,72,69.75,2.25,4,0,0.3001014041308067
23,34,29.166666666666668,30,7,11,4.070217029430577,3.6,71,68.83333333333333,2.1666666666666714,6,1,1.183381296140265
3,48,20.024793388429753,18,15,45,12.461367894062011,1.6058091286307057,86,80.00413223140495,5.995867768595048,242,77,18.200230610150157
10,26,19.75,10,0,16,7.762087348130011,5.333333333333333,76,55.25,20.75,4,0,0.4565122260340936
26,44,36.2,26,0,18,6.6105975524153635,6.5,65,63.0,2.0,5,0,0.6569786361142113
34,48,40.375,36,2,14,5.730557190560593,5.714285714285714,73,69.25,3.75,8,4,1.1886088734554938
45,50,48.27272727272727,47,2,5,1.4893561757289009,1.2,79,75.0909090909091,3.9090909090909065,11,16,6.829074989649596
39,45,42.0,45,6,6,4.242640687119285,6.0,69,68.5,0.5,2,6,1.335204988813823
29,49,42.166666666666664,29,0,20,7.626707459098367,5.2,50,42.0,8.0,6,0,0.6955144855030356
17,50,37.65,17,0,33,10.90280021974075,2.789473684210526,74,63.2,10.799999999999995,20,0,3.192526069367874
6,50,30.65,6,0,44,16.345850914077957,2.8421052631578947,74,71.45,2.549999999999997,20,0,1.153013484266023
19,41,32.2,19,0,22,12.049896265113656,5.5,83,63.4,19.6,5,0,0.3831448080829976
21,41,30.666666666666668,23,2,20,9.993331109628391,4.4,77,61.333333333333336,15.666666666666664,6,1,0.5457854348392148
9,46,26.765432098765434,45,36,37,13.196847734343862,2.0875,77,73.67901234567901,3.3209876543209873,81,25,5.775930089158614
5,40,13.005882352941176,5,0,35,7.386615962041932,1.0769230769230769,92,90.71764705882352,1.2823529411764838,170,0,20.270392822256905
33,33,33.0,33,0,0,0.0,0.0,91,91.0,0.0,1,0,1.0
16,47,22.276190476190475,36,20,31,6.52730247925417,1.6826923076923077,79,77.45714285714286,1.5428571428571445,105,63,13.949220227217936
